FID,the_geom,NOMBRE
cabeceras_departamentales.1,POINT (-68.84195346052945 -32.89754186640839),Capital
cabeceras_departamentales.2,POINT (-68.84443791675417 -32.932626589704164),Godoy Cruz
cabeceras_departamentales.3,POINT (-68.84195942678606 -32.849896719775266),Las Heras
cabeceras_departamentales.4,POINT (-68.79349869350618 -32.90053269641062),Guaymallen
cabeceras_departamentales.5,POINT (-68.79255350160881 -32.98370344479292),Maipu
cabeceras_departamentales.6,POINT (-68.88034765851522 -33.03541278352559),Lujan de Cuyo
cabeceras_departamentales.7,POINT (-68.46884202181448 -33.080511998548886),San Martin
cabeceras_departamentales.8,POINT (-68.48658915371406 -33.14613178606609),Junin
cabeceras_departamentales.9,POINT (-68.46234001844799 -33.192547452966934),Rivadavia
cabeceras_departamentales.10,POINT (-69.143800781866 -33.36551151458894),Tupungato
cabeceras_departamentales.11,POINT (-69.01658079724491 -33.57727325723137),Tunuyan
cabeceras_departamentales.12,POINT (-69.04037657929757 -33.77225642332842),San Carlos
cabeceras_departamentales.13,POINT (-68.04639899346687 -33.30449854927361),Santa Rosa
cabeceras_departamentales.14,POINT (-67.55143825974226 -33.46054370960281),La Paz
cabeceras_departamentales.15,POINT (-68.33161717376139 -34.611218916117494),San Rafael
cabeceras_departamentales.16,POINT (-67.68975281645477 -34.97827860567863),General Alvear
cabeceras_departamentales.17,POINT (-69.58617708351399 -35.475329750099775),Malargue
cabeceras_departamentales.18,POINT (-68.59587711957066 -32.72189362657472),Lavalle
